tytuł;klasa;katsiedlecki;nr;tonacja;naco;tekst
Jak szczęśliwa Polska cała;3;;389;B;1/0/1/1/1/0;"1.
Jak szczęśliwa Polska cała,
W niej Maryi kwitnie chwała,
Od Bałtyku po gór szczyty,
Kraj nasz płaszczem Jej okryty.
*
Matko Boska, Królowo Polska,
O Pani nasza Częstochowska.
2.
W Częstochowie tron swój wzniosła,
Wielka, można i wyniosła,
Lecz najczulsza z matek ziemi,
Cierpi razem z dziećmi swymi.
*
Matko Boska, Królowo Polska…
3.
Tyś cudami zajaśniała,
Swoje serce nam oddała.
Ludu Polski, dziecię drogie,
Masz tu Matkę, szczęście błogie.
*
Matko Boska, Królowo Polska…"
Jam jest chlebem żywym;1;Pieśni do Najświętszego Sakramentu;397;a;0/0/1/0/0/0;"*
Jam jest chlebem żywym
Który zstąpił z nieba
**
1.
Ciało moje _jest_ pokarmem
A krew mo_ja_ jest napojem
*
Jam jest chlebem żywym…
2.
Kto pożywa Ciało i Krew moją
Ten _ma_ życie wieczne
*
Jam jest chlebem żywym…
3.
Kto przyjmuje Ciało i Krew moją
Ten we Mnie, _a_ Ja w nim mieszkam
*
Jam jest chlebem żywym…
4.
Ja go wskrzeszę w dzień ostateczny
I bę_dzie_ żył na wieki
*
Jam jest chlebem żywym…"
Jasnogórska Pani;3;Pieśni ku czci NMP;405;F;0/0/0/0/1/0;"*
Jasnogórska Pani, Tyś naszą hetmanką
Polski Tyś Królową i najlepszą Matką
**
1.
Spójrz na polskie domy, na miasta i wioski
Niech z miłości Twojej słynie naród polski
*
Jasnogórska Pani, Tyś naszą hetmanką…
2.
Weź w opiekę młodzież i niewinne dziatki
By się nie wyrzekły swej niebieskiej Matki
*
Jasnogórska Pani, Tyś naszą hetmanką…
3.
Niech i Kościół święty, dzieło Twego Syna
U Bożego tronu wspiera Twa przyczyna
*
Jasnogórska Pani, Tyś naszą hetmanką…"
Jeden Chleb;1;Pieśni do Najświętszego Sakramentu;406;F;0/0/1/0/0/0;"1.
Jeden chleb co zmienia się w Chrystusa Ciało,
z wielu ziaren pszenicznych się rodzi.
Jedno wino, co się Krwią Chrystusa stało,
z soku wielu winnych gron pochodzi.
*
Jak ten chleb, co złączył złote ziarna,
tak niech miłość złączy nas ofiarna.
Jak ten kielich łączy kropel wiele,
tak nas, Chryste, w swoim złącz Kościele.
2.
O Pasterzu, zgromadź w jednej swej owczarni
zabłąkane owce, które giną.
W jeden Kościół zbierz na nowo i przygarnij,
byśmy jedną stali się rodziną
*
Jak ten chleb, co złączył złote ziarna…
3.
Na ramiona swoje weź, o (dobry) Panie,
tych, co sami wrócić już nie mogą!
Niechaj zjednoczenia cud się (wielki) stanie,
prowadź nas ku niebu wspólną drogą
*
Jak ten chleb, co złączył złote ziarna…"
Jesteśmy piękni;2;;;E;1/1/1/1/1/ślubne;"Jesteśmy piękni
Twoim pięknem Panie!=

Ty otwierasz nasze oczy,
na piękno Twoje Panie!
Ty otwierasz nasze oczy, Panie!
Ty otwierasz nasze oczy
na piękno Twoje Panie!
Ty otwierasz nasze oczy, Panie, na Twoje piękno."
Jezu Chryste, Panie miły;7;Pieśni na Wielki Post;431;d;1/0/1/0/0/0;"1.
Jezu Chryste, Panie miły
Baranku bardzo cierpliwy!
Wzniosłeś na krzyż ręce swoje,
Gładząc nieprawości moje. [za niesprawiedliwość moją]
2.
Płacz Go, człowiecze mizerny,
Patrząc jak jest miłosierny;
Jezus, na krzyżu umiera,
Słońce jasność swą zawiera.
3.
Pan wyrzekł ostatnie słowa,
Zwisła Mu na piersi głowa;
Matka, pod Nim frasobliwa,
Stoi z żalu ledwie żywa.
4.
Zasłona się potargała,
Ziemia rwie się, ryczy skała;
Setnik woła: Syn to Boży!
Tłuszcza wierząc w proch się korzy "
Jezu drogi, Tyś miłością;1;Pieśni do Najświętszego Sakramentu;432;F;0/0/1/0/0/0;"1.
Jezu drogi, Tyś miłością, przyjdź, daj siebie nam
Duszy mojej Tyś ufnością, króluj w niej Ty sam
*
Jezu, Jezu, przyjdź do duszy mej
Obdarz ją łaskami swymi i bądź królem jej
2.
Choć mnie brudzą grzechu cienie, Ty mi siebie daj
Duszę moją łaski tchnieniem przemień w cichy raj
*
Jezu, Jezu, przyjdź do duszy mej…
3.
Dodaj siły w życia znoju, usuń zwątpień noc
I zachowaj nas w pokoju, sercom daj Twą moc
*
Jezu, Jezu, przyjdź do duszy mej…"
Jezu, Jezu, do mnie przyjdź;1;Pieśni do Najświętszego Sakramentu;441;d;0/0/1/0/0/0;"1.
Jezu, Jezu, do mnie przyjdź
Ach, do serca mego wnijdź
Przyjacielu prostych dusz
Niech się z Tobą złączę już
2.
Serce się ku Tobie rwie
Żyć bez Ciebie, Panie, źle
Pragnę, wzdycham, Jezu mój
W Tobie słodycz, życia zdrój
3.
Żadna rozkosz w świecie tym
Nie ma miejsca w sercu mym
Tylko miłość, Jezu, Twa
Błogi pokój sercu da
4.
Choć niegodny sługa Twój
Byś majestat zniżył swój
Uzdrów słowem duszę mą
Niech się zbudzi z grzechu snu
5.
Przyjdź, o Jezu, proszę Cię
Niech Twym dzieckiem stanę się
Chroń od złego duszę mą
Niech na wieki będzie Twą"
Jezu, miłości Twej;4;Pieśni do Serca Jezusowego;443;F;0/0/1/1/0/0;"1.
Jezu, miłości Twej,
ukryty w Hostii tej
wielbimy cud,
żeś się pokarmem stał,
żeś nam swe Ciało dał,
żeś skarby łaski zlał,
na wierny lud.
2.
Dla biednych stworzeń Twych, 
co ostrzem grzechów swych
zraniły Cię,
włócznią, co w boku tkwi,
otwierasz serca drzwi,
by w Twojej Boskiej Krwi
obmyły się.
3.
I w Boskim Sercu tam
schronienie dajesz nam,
o Jezu mój!
Aby nas żądłem swym
wróg nasz nie dotknął w Nim,
by się przed piekła złem
lud ukrył Twój.
4.
Twe Serce tronem łask,
i miłosierdzia blask
w Nim świeci się.
Panie, Ty widzisz sam,
jak bardzo ciężko nam,
więc grzesznym pozwól tam
przytulić się.
5.
O Jezu, Zbawco nasz,
co nędzę naszą znasz,
grzeszników zbaw,
by święte życie wieść,
a potem Tobie cześć
w niebiosach mogli nieść,
o Jezu, spraw!"
Jezu, w Hostii utajony;1;Pieśni do Najświętszego Sakramentu;439;B;0/0/1/0/0/0;"1.
Jezu w Hostii utajony
Daj mi serce Twoje, daj
Tyś mi jeden ulubiony
Tyś mojego serca raj
2.
Wszędzie dobrze mi, o Panie
Choćby krzyż me siły rwał
Słodkie ziemskie me wygnanie
Byleś mi sam siebie dał
3.
Wszystko, wszystko chętnie zniosę
Panie, dla miłości Twej
Tylko błagam, tylko proszę
Ty mnie w Sercu zawsze miej"
Jezus malusieńki;6;Kolędy domowe;457;g;0/0/0/0/0/0;"1.
Jezus malusieńki leży wśród stajenki
= Płacze z zimna nie dała mu matula sukienki.
2.
Bo uboga była, rąbek z głowy zdjęła,
= w który Dziecię owinąwszy, siankiem Je okryła
3.
Nie ma kolebeczki, ani poduszeczki,
= We żłobie Mu położyła siana pod główeczki."
Jezusa ukrytego;1;Pieśni do Najświętszego Sakramentu;468;B;0/0/1/0/0/0;"1.
Jezusa ukrytego mam w Sakramencie czcić
Wszystko oddać dla Niego, Jego miłością żyć
On się nam daje cały, z nami zamieszkał tu
Dla Jego Boskiej chwały życie poświęćmy Mu
Wiarą ukorzyć trzeba zmysły i rozum swój
Bo tu już nie ma chleba, to Bóg, to Jezus mój
2.
Tu Mu ciągle Hosanna śpiewa anielski chór
A ta cześć nieustanna to dla nas biednych wzór
Dzielić z nami wygnanie Jego rozkosze są
Niechże z Nim przebywanie będzie radością mą
On wie, co udręczenie, On zna, co smutku łzy
Powiem Mu swe cierpienie, bo serce z bólu drży
3.
O Niebo mojej duszy, najsłodszy Jezu mój
Dla mnie wśród ziemskiej suszy Tyś szczęścia pełen zdrój
Tyś w Wieczerniku siebie raz tylko uczniom dał
W ołtarzuś się jak w niebie powszednim chlebem stał
Chciałbym tu być aniołem, co śpiewa ciągle cześć
Z rozpromienionym czołem Tobie swe serce nieść "
Jezusowi cześć i chwała;1;Pieśni do Najświętszego Sakramentu;469;e;0/0/1/0/0/0;"*
Jezusowi cześć i chwała
Za miłości cud
Niech Mu śpiewa ziemia cała
Niech Go wielbi lud
**
1.
On nam wskazał nieomylną drogę
On za owce swoje życie dał
On przez krzyż zwyciężył śmierci trwogę
W nas nadzieję zmartwychwstania wlał
*
Jezusowi cześć i chwała…
2.
On prowadzi nas do nowej ziemi
Gdzie nie będzie cierpień ani łez
Choć krzyżową drogą z Nim idziemy
Wiedzie tam, gdzie wieczne szczęście jest 
*
Jezusowi cześć i chwała…
3.
Więc dziękujmy Jemu z całej duszy
Że się dla nas w małej Hostii skrył
Niech ta miłość serca nasze wzruszy
Byśmy Go kochali z wszystkich sił 
*
Jezusowi cześć i chwała…"
Józefie, stajenki nie szukaj;5;;1314;Es;1/0/0/1/0/0;"1.
Józefie, stajenki nie szukaj
I do gospody nie pukaj
Z Maryją do nas przyjdź
*
Przynieście ze sobą dziecinę
Jest miejsce w naszej rodzinie
Dla Boga u nas zawsze otwarte drzwi=
2.
W tym mieście nie szukaj schronienia
Nie znajdziesz tam wybawienia
Z Maryją do nas przyjdź
*
Przynieście ze sobą dziecinę…
3.
Wprosimy do domu swojego
Rodziny Syna Bożego
On pokój światu da
*
Narodzi się w lichej stajence
Na radość świętej Panience
On zbawi ludzkość oraz cały ten świat="
Już od rana rozśpiewana;3;Pieśni ku czci NMP;474;D;1/0/0/1/0/0;"1.
Już od rana rozśpiewana,
chwal o duszo, Maryję!
Cześć Jej świątkom, cześć pamiątkom,
co dzień w niebo niech bije!
*
Cud bo żywy, nad podziwy,
Jej wielmożność u Boga:
Panna czysta, Matka Chrysta,
przechwalebna, przebłoga.
2.
Serce rośnij w cześć rozgłośniej,
dźwięków Marii nieś krocie;
świat w niemocy, świat sierocy
odmieniła w żywocie
*
Cud bo żywy, nad podziwy…
3.
Przez Cię czarta pycha starta
i na wszystkie plemiona
Tyś otucha znów dla ducha,
Panno błogosławiona 
*
Cud bo żywy, nad podziwy…
4.
O Królowo! Tyś na nowo
światu rozradowaniem,
z Twej opieki na wiek wieki
chwałę niebios dostaniem 
*
Cud bo żywy, nad podziwy…
5.
Bądź ochłodą i osłodą
tym, co wiernie i stale
Twoje świątki i pamiątki
podawają ku chwale. 
*
Cud bo żywy, nad podziwy…"
Każda żyjąca dusza;4;Pieśni do Serca Jezusowego;483;G;0/1/0/0/0/0;"1.
Każda żyjąca dusza
Niech się miłością wzrusza
Uwielbiając, wychwalając
Serce Jezusa
2.
Bo niebo ani ziemia
Nic tak słodkiego nie ma
Jako Serce Jezusowe
Pełne zbawienia
3.
Dla nas otwarte stoi
Niech grzesznik się nie boi
Niech żałuje, pokutuje
Tu rany zgoi
4.
W Najświętszym Sakramencie
To Serce uwielbiajcie
Za te dary serc ofiary
Chętnie oddajcie
5.
Niech, Jezu, Twe mieszkanie
Wśród naszych serc zostanie
Niechaj dusza ma Jezusa
Na posilanie
6.
Posilaj, Jezu drogi
Rzucam się pod Twe nogi
Serce kruszę, dając duszę
Człowiek ubogi
7.
Gdy zbliży się konanie
A serce me ustanie
Z Twej opieki mnie na wieki
Nie wypuść, Panie"
Kiedy ranne wstają zorze;2;Pieśni przygodne;488;D;0/0/0/0/1/0;"1.
Kiedy ranne wstają zorze,
Tobie ziemia, Tobie morze,
Tobie śpiewa żywioł wszelki:
bądź pochwalon, Boże wielki!
2.
A człowiek, który bez miary
obsypany Twymi dary,
coś go stworzył i ocalił,
a czemuż by Cię nie chwalił?
3.
Ledwie oczy przetrzeć zdołam,
wnet do mego Pana wołam,
do mego Boga na niebie
i szukam Go koło siebie.
4.
Wielu snem śmierci upadli,
co się wczoraj spać pokładli;
my się jeszcze obudzili,
byśmy Cię, Boże, chwalili.
5.
Boże w Trójcy niepojęty,
Ojcze, Synu, Duchu Święty,
Tobie chwałę oddajemy,
niech dla Ciebie dziś żyjemy."
Kiedy w jasną;1;;491;Es;0/0/1/0/0/0;"1.
Kiedy w jasną, spokojną, cichą noc
Spoglądam na niebo pełne gwiazd
Wtedy myślę, czy życie to ma sens
I wołam do Ciebie, Ojcze nasz
*
O Boże, o Boże, Panie mój
Nie pamiętaj, że czasem było źle
Wiesz dobrze, że zawsze jestem Twój
I że tylko Twoją drogą kroczyć chcę
2.
Kiedy w życiu tak pełnym rozczarowań
Przez grzechu kamienie potknę się
Kiedy spokój utonie w fali knowań
Każdym drżeniem mej duszy szukam Cię
*
O Boże, o Boże, Panie mój…
3.
Życie ludzi przebiega krętą drogą
Hen w górze cel wędrówki mojej tkwi
I choć czasem sił braknie moim nogom
To ja dojdę, bo zaufałem Ci
*
O Boże, o Boże, Panie mój…"
Kiedy serca dwa;2;;;A;1/1/1/1/1/ślubne;"Kiedy serca dwa połączą się miłością.
A Bóg obdarzył je łaską Swą
Wtedy razem iść przez życie chcą z ufnością
i proszą, żebyś błogosławił im.

Dziś spójrz, stoją tu u Twoich drzwi
i proszą, byś zawsze z nimi był.
Dziś spójrz, stoją tu i proszą Cię,
byś błogosławił im przez wszystkie dni."
Kiedyś, o Jezu;4;Pieśni do Serca Jezusowego;493;C;0/0/1/0/0/0;"1.
Kiedyś, o Jezu, chodził po świecie,
brałeś dziateczki w objęcia swe,
patrz, tu przed Tobą stoi Twe dziecię,
do Serca Twego przytul i mnie!
2.
Byłeś Dzieciątkiem, Ty wielki Boże!
W żłóbku płakałeś nad światem złym.
Nie płacz, Dzieciątko! Ja Ci w pokorze
serce me daję! Ty mieszkaj w nim!
3.
Kto by u siebie dziecko przyjmował,
rzekłeś, że wtenczas przyjmuje Cię.
Dzięki Ci, Jezu, żeś nas miłował!
Za to Cię kochać na wieki chcę!
4.
Rzekłeś: „Nie może ze Mną być w niebie,
kto nie chce dziecku podobnym być”!
Ja, dziecko Twoje, chcę przyjść do Ciebie!
Daj mi niewinnie do śmierci żyć!
5.
Kiedy w ostatniej będę potrzebie,
gdy się rozstanę ze światem tym
– zlituj się, Jezu! Weź mnie do siebie!
Niech wiecznie spocznę przy Sercu Twym!"
Kłaniam się Tobie;1;Pieśni do Najświętszego Sakramentu;495;G;1/0/1/0/0/0;"1.
Kłaniam się Tobie, przedwieczny Boże
Którego niebo pojąć nie może
Ja, proch mizerny, przed Twą możnością
Z wojskiem aniołów klękam z radością
2.
Tu Stwórcę swego z wiarą wyznaję
Kocham serdecznie, pokłon oddaję
Cieszę się wielce z Twej Boskiej chwały
Niech Ci się kłania z niebem świat cały
3.
Dziękuję za to, żeś się zostawił
W tym Sakramencie, abyś nas zbawił
Za swoje łaski tu wyświadczony
Odbieraj od nas serca skruszone
4.
?
5.
?
6.
?"
Kochajmy Pana;4;Pieśni do Serca Jezusowego;496;G;0/1/0/0/1/0;"1.
Kochajmy Pana, bo Serce Jego
Żąda i pragnie serca naszego
Dla nas Mu włócznią rana zadana
Kochajmy Pana, kochajmy Pana
2.
O pójdź do Niego wszystko stworzenie
Sercu Jezusa złóż dziękczynienie
I twoje przed Nim zegnij kolana
Kochajmy Pana, kochajmy Pana
3.
Pójdźcie do Niego, biedni grzesznicy
Zmyć grzechów zmazy w czystej Krynicy
Nad śnieg zbieleje dusza zmazana
Kochajmy Pana, kochajmy Pana
4.
Pójdźcie do Niego, szczęśliwe dusze
Obmyte we łzach, w pokuty skrusze
Już niewinności szata wam dana
Kochajmy Pana, kochajmy Pana"
Królowej Anielskiej śpiewajmy;3;Pieśni ku czci NMP;503;Es;0/0/1/0/1/0;"1.
Królowej Anielskiej śpiewajmy
Różami uwieńczmy Jej skroń
Jej serca w ofierze składajmy
Ze łzami wołajmy doń
*
= O Maryjo, bądź nam pozdrowiona
Bądź Ty zawsze Matką nam
2.
Przez Ciebie, o Matko miłości
Łask wszelkich udziela nam Bóg
A my Ci hołd dajem wdzięczności
Upadłszy do Twoich nóg
*
= O lilijo, jakżeś Ty wspaniała
Wszelkich cnót rozlewasz woń
3.
O tronie Ty Boga wiecznego
O Słońce nadziei i łask
O Różdżko przedziwna Jessego
Jak wielki cnót Twych jest blask
*
= O Maryjo, bądź nam pozdrowiona
Bądź Ty zawsze Matką nam"
Króluj nam, Chryste;1;Pieśni do Chrystusa Króla;508;F;0/0/0/0/1/0;"1.
Króluj nam, Chryste, zawsze i wszędzie
To nasze rycerskie hasło
= Ono nas zawsze prowadzić będzie
I świecić jak słońce jasno
2.
Naprzód, przebojem, młodzi rycerze
Do walki z grzechem swej duszy
= Wodzem nam Jezus w Hostii ukryty
Z Nim w bój nasz zastęp wyruszy
3.
Pójdziemy naprzód, naprzód radośnie
Podnosząc w górę swe czoła
= Przed nami życie rozkwita w wiośnie
Odważnie, bo Jezus woła"
Krzyżu święty, nade wszystko;7;Pieśni na Wielki Post;514;c;0/1/0/0/0/0;"1.
Krzyżu święty nade wszystko
Drzewo przenajszlachetniejsze
W żadnym lesie takie nie jest
Jedno na którym sam Bóg jest
Słodkie drzewo słodkie gwoździe
Rozkoszny owoc nosiło
2.
Skłoń gałązki drzewo święte
Ulżyj członkom tak rozpiętym
Odmień teraz oną srogość
Którąś miało z urodzenia
Spuść lekuchno i cichuchno
Ciało Króla niebieskiego
3.
Tyś samo było dostojne
Nosić światowe Zbawienie
Przez Cię przewóz jest naprawion
Światu który był zagubion
Który święta Krew polała
Co z Baranka wypływała
4.
W jasełkach leżąc gdy płakał
Już tam był wszystko oglądał
Iż tak haniebnie umrzeć miał
Gdy wszystek świat odkupić chciał
W on czas między zwierzętami
A teraz między łotrami"
Kto się w opiekę;1;Pieśni przygodne;520;C;1/0/0/0/0/0;"1.
Kto się w opiekę odda Panu swemu
A całym sercem szczerze ufa Jemu
Śmiele rzec może – mam obrońcę Boga
Nie przyjdzie na mnie = żadna straszna trwoga
2.
Ciebie On z łowczych obieży wyzuje
I w zaraźliwym powietrzu ratuje
W cieniu swych skrzydeł zachowa cię wiecznie
Pod Jego pióry = uleżysz bezpiecznie
3.
Stateczność Jego tarcz i puklerz mocny
Za którym stojąc, na żaden strach nocny
Na żadną trwogę ani dbaj na strzały
Którymi sieje = przygoda w dzień biały
4.
?
5.
Iżeś rzekł Panu – Tyś nadzieja moja
Iż Bóg najwyższy jest ucieczka twoja
Nie padnie na cię żadna zła przygoda
Ani się znajdzie = w domu twoim szkoda
6.
?
7.
?
8.
Słysz, co Pan mówi – Ten kto mnie miłuje
I ze Mną sobie szczerze postępuje
I Ja go także w jego każdą trwogę
I nie zapomnę, = i owszem, pomogę"
Któryś za nas cierpiał rany;2;Pieśni na Wielki Post;1331;d;0/0/0/0/1/0;"Któryś za nas cierpiał rany,
Jezu Chryste, zmiłuj się nad nami.

I Ty, któraś współcierpiała
Matko Bolesna, przyczyń się za nami."
Ludu, mój ludu;7;Pieśni na Wielki Post;539;e;0/0/1/0/0/0;"1.
*
Ludu, mój ludu, cóżem ci uczynił?
W czymem zasmucił, albo w czym zawinił?
**
Jam cię wyzwolił z mocy faraona,
a tyś przyrządził krzyż na me ramiona.
2.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam cię wprowadził w kraj miodem płynący,
tyś Mi zgotował śmierci znak hańbiący.
3.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam ciebie szczepił, winnico wybrana,
a tyś Mnie octem poił, swego Pana.
4.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam dla cię spuszczał na Egipt karanie,
a tyś Mnie wydał na ubiczowanie.
5.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam faraona dał w odmęt bałwanów
a tyś Mnie wydał książętom kapłanów.
6.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Morzem otworzył, byś szedł suchą nogą
a tyś Mi włócznią bok otworzył srogą.
7.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam ci był wodzem w kolumnie obłoku,
tyś Mnie wiódł słuchać Piłata wyroku.
8.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam ciebie karmił manny rozkoszami
tyś Mi odpłacił policzkowaniami.
9.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam ci ze skały dobył wodę zdrową,
a tyś Mnie poił goryczą żółciową.
10.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam dał, że zbici Chanaan królowie,
a ty zaś trzciną biłeś Mnie po głowie.
11.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam ci dał berło Judzie powierzone,
a tyś Mi wtłoczył cierniową koronę.
12.
*
Ludu, mój ludu, cóżem ci uczynił?...
**
Jam cię wywyższył między narodami,
tyś Mnie na krzyżu podwyższył z łotrami"
Lulajże, Jezuniu;6;Kolędy domowe;540;B;0/0/0/0/0/0;"1.
Lulajże, Jezuniu, moja perełko
Lulaj, ulubione me pieścidełko
*
Lulajże, Jezuniu, lulajże, lulaj
A ty Go, Matulu, w płaczu utulaj
2.
Zamknijże znużone płaczem powieczki
Utulże zemdlone łkaniem usteczki
*
Lulajże, Jezuniu…
3.
Lulajże, piękniuchny nasz aniołeczku
Lulajże, wdzięczniuchny świata kwiateczku
*
Lulajże, Jezuniu…
4.
Lulajże, różyczko najozdobniejsza
Lulajże, lilijko najprzyjemniejsza
*
Lulajże, Jezuniu…"
Maryjo, ja Twe dziecię;3;Pieśni ku czci NMP;556;Es;0/1/0/0/0/0;"1.
Maryjo, ja Twe dziecię, o podaj mi Twą dłoń
od złego mnie w tym świecie, od grzechu, Matko, chroń
*
Bądź z nami w każdy czas
wspieraj i ratuj nas
Matko, Matko, bądź z nami, w każdy czas
2.
O, tkliwe Twoje oczy ku dzieciom, Matko, zniż
Gdy niemoc serce tłoczy, Ty je pociągnij wzwyż
*
Bądź z nami w każdy czas…
3.
Ty płoniesz blaskiem słońca, rozpraszasz świata mrok
niech w obraz Twój bez końca utkwiony mamy wzrok
*
Bądź z nami w każdy czas…"
Maryjo, Królowo Polski;3;;558;Es;0/0/0/0/1/0;"Maryjo, Królowo Polski =
= Jestem przy Tobie, pamiętam
Jestem przy Tobie, czuwam ="
Mędrcy świata;6;Pieśni na Boże Narodzenie;580;B;0/0/0/0/0/0;"1.
Mędrcy świata, monarchowie, * gdzie śpiesznie dążycie?
Powiedzcież nam Trzej Królowie, * chcecie widzieć Dziecię?
Ono w żłobie nie ma tronu, * i berła nie dzierży,
a proroctwo jego zgonu, * już się w świecie szerzy.
2.
Mędrcy świata, złość okrutna, * Dziecię prześladuje,
wieść okropna, wieść to smutna, * Herod spiski knuje.
Nic monarchów nie odstrasza, * do Betlejem spieszą,
gwiazda zbawcę im ogłasza, * nadzieją się cieszą.
3.
Przed Maryją stoją społem, * Niosą Panu dary.
Przed Jezusem biją czołem, * składają ofiary.
Trzykroć szczęśliwi królowie, * Któż wam nie zazdrości?
Cóż my damy, kto nam powie, * pałając z miłości."
Miłość Twa;2;;;C;1/1/1/1/1/ślubne;"Miłość Twa
od najwyższych gór wyższa jest,
Wielka jest wierność Twa
Do nieba sięga wzwyż

Miłość Twa
głębsza niż ocean bez dna
wielka jest wierność Twa
gdy do mnie zbliżasz się."
Miłujcie się wzajemnie;1;Pieśni do Najświętszego Sakramentu;594;c;0/1/0/0/0/0;"*
Miłujcie się wzajemnie
Jak ja was umiłowałem
**
1.
To jest nowe przykazanie
Abyście się wzajemnie miłowali
*
Miłujcie się wzajemnie…
2.
Nie ma większej miłości
Jak oddać życie za przyjaciół swoich 
*
Miłujcie się wzajemnie…
3.
Nie nazywam was sługami
Ale przyjaciółmi 
*
Miłujcie się wzajemnie…
4.
Jesteście przyjaciółmi moimi
Gdy czynicie, co wam nakazałem
*
Miłujcie się wzajemnie…"
Mizerna, cicha;6;Pieśni na Boże Narodzenie;598;c;0/0/0/0/0/0;"1.
Mizerna, cicha, stajenka licha, * Pełna niebieskiej chwały.
= Oto leżący, przed nami śpiący * W promieniach Jezus mały.
2.
Nad nim anieli w locie stanęli * I pochyleni klęczą
= Z włosy złotymi, z skrzydła białymi, * Pod malowaną tęczą.
3.
Wielkie zdziwienie: wszelkie stworzenie * Cały świat orzeźwiony;
= Mądrość Mądrości, Światłość Światłości, * Bóg - człowiek tu wcielony!"
My chcemy Boga;3;Hymny;611;Es;0/0/0/0/1/0;"1.
My chcemy Boga, Panno Święta!
O, usłysz naszych wołań głos!
Miłości Bożej dźwigać pęta,
to nasza chluba, to nasz los.
*
Błogosław, słodka Pani!
Błogosław wszelki stan!
= My chcemy Boga! My poddani!
On naszym Królem, On nasz Pan!
2.
My chcemy Boga w rodzin kole,
w troskach rodziców, w dziatek snach;
my chcemy Boga w książce, w szkole,
w godzinach wytchnień, w pracy dniach.
*
Błogosław, słodka Pani…
3.
My chcemy Boga w naszym kraju,
wśród starodawnych polskich strzech,
w polskim języku i zwyczaju
niech Boga wielbi Chrobry, Lech. 
*
Błogosław, słodka Pani…
4.
My chcemy Boga w każdej chwili,
i dziś, i jutro, w szczęściu, w łzach;
czy nam się pociech niebo schyli,
czy w gruzach legnie szczęścia gmach.
*
Błogosław, słodka Pani…
5.
My chcemy Boga! Jego prawo
niech będzie naszych czynów tchem!
Byśmy umieli chętnie, żwawo:
obierać dobro, gardzić złem!
*
Błogosław, słodka Pani…"
Najświętsze Serce Boże;4;Pieśni do Serca Jezusowego;623;G;0/0/0/0/1/0;"Najświętsze Serce Boże,
poświęcamy Ci
naszą ojczyznę, miasta i wioski,
nasze rodziny i nas samych.
Serce Boże, przyjdź Królestwo Twoje!"
Nasze plany i nadzieje;1;;630;d;1/0/0/0/0/0;"1.
Nasze plany i nadzieje
coś niweczy raz po raz.
Tylko Boże miłosierdzie
nie zawodzi nigdy nas.
*
Jezu, ufam Tobie
od dziecięcych lat.
Jezu, ufam Tobie,
choćby wątpił świat.
Strzeż mnie, dobry Jezu,
jak własności swej
i w opiece czułej
duszę moją miej.
2.
Ufność w miłosierdzie Boże
zapewnienie daje nam,
że w godzinę naszej śmierci
przyjdzie po nas Jezus sam.
*
Jezu, ufam Tobie…
3.
W trudnych chwilach Twego życia
nie rozpaczaj, nie roń łez
Ufność w Boże miłosierdzie
troskom twym położy kres
*
Jezu, ufam Tobie…"
Nawróć się, ludu;1;Pieśni na Wielki Post;631;e;0/1/0/0/0/Posypanie głów;"1.
Nawróć się, ludu, w pokorze
W poście i w płaczu, i w żalu
A światłość twoja jak zorze
Rozbłyśnie nad Jeruzalem
2.
Nawróć się, córko Syjonu
Do Pana, Boga swojego
Tułaczy przyjmij do domu
Łaknących obdaruj chlebem
3.
Obmyj się dziś żywą wodą
Bo Bóg ci przebaczyć gotów
Jak orzeł odnów swą młodość
I wzmocnij skrzydła do lotu
4.
Wtedy Pańskiego Imienia
Zawezwiesz, a On odpowie
Wprowadzi do bram zbawienia
Pasterzem będzie swych owiec"
Nie było miejsca dla Ciebie;6;;640;e;0/0/0/0/0/0;"1.
Nie było miejsca dla Ciebie • W Betlejem w żadnej gospodzie
I narodziłeś się, Jezu • W stajni, w ubóstwie i chłodzie
Nie było miejsca, choć zszedłeś • Jako Zbawiciel na ziemię
By wyrwać z czarta niewoli • Nieszczęsne Adama plemię
2.
Nie było miejsca, choć chciałeś • Ludzkość przytulić do łona
I podać z krzyża grzesznikom • Zbawcze, skrwawione ramiona
Nie było miejsca, choć zszedłeś • Ogień miłości zapalić
I przez swą mękę najdroższą • Świat od zagłady ocalić
3.
Gdy liszki mają swe jamy • I ptaszki swoje gniazdeczka
Dla ciebie brakło gospody • Tyś musiał szukać żłóbeczka
A dzisiaj czemu wśród ludzi • Tyle łez, jęków, katuszy
Bo nie ma miejsca dla Ciebie • W niejednej człowieczej duszy"
